address,tagname,description,SCADA_Tag,type
0.00,ALARMCANCEL,"""ALARM CANCEL""",,BOOL
0.01,I001,"""PROCES START/STOP""",,BOOL
0.02,STER_LAMP_TEST_DI,"""LAMP TEST""",,BOOL
0.03,I003,"""CIP START/STOP""",,BOOL
0.04,I004,"""STERILE TANK WATER VALVE ON/OFF""",,BOOL
0.05,I005,"""PUMP 116 (P.B)""",,BOOL
0.06,I006,"""VOTATOR FEED PUMP WEST 118""",,BOOL
0.07,I007,"""PLANT PURGE""",,BOOL
0.08,I008,"""EMERGENCY STOP""",,BOOL
0.09,STER_TOGGLE_SWITCH_MANUAL,"""Toggle Switch Manual @ Sterilizer Panel""",,BOOL
0.12,I012,"""SEPARATOR PRESSURE S.P. SWITCH""",,BOOL
1.01,I101,"""PUMP P72 FAULT RELAY""",,BOOL
1.02,I102,"""PUMP P64 FAULT RELAY""",,BOOL
1.03,I103,"""PUMP 76 FAULT RELAY""",,BOOL
1.04,I104_P116_FAULT,"""PUMP 116 FAULT RELAY""",,BOOL
1.05,I105_P118_FAULT,"""PUMP 118 FAULT RELAY""",,BOOL
1.07,WASHOUT_OPEN,"""WASHOUT PLATE OPEN ""2.04 from Chem PLC""""",,BOOL
1.08,START_P116,"""START P-116 FROM CHEMETATOR PANEL""",,BOOL
1.09,WASHOUT_CANDL,"""WASHOUT PLATE CLOSED AND LOCKED""",,BOOL
1.10,STER_CHEM_IN_PARK_POSITION,"""CHEMETATOR IN PARK POSITION""",,BOOL
1.12,TOGGLE_SWITCH_MAN_POSITION,"""Toggle Switch MAN Position""",,BOOL
100.02,AC1C1,"""SCALING ON""",,BOOL
100.03,AC1C2,"""SCALING ON""",,BOOL
100.04,AC1C3,"""SCALING ON""",,BOOL
100.05,AC1C4,"""SCALING ON""",,BOOL
101,Sterilizer_ADDR_101,,,DINT
103,Sterilizer_ADDR_103,,,DINT
104,Sterilizer_ADDR_104,,,DINT
110.02,AC2C1,"""SCALING ON""",,BOOL
110.03,AC2C2,"""SCALING ON""",,BOOL
110.04,AC2C3,"""SCALING ON""",,BOOL
110.05,AC2C4,"""SCALING ON""",,BOOL
